label,text,desc
0,nm的评分,评分
0,nm得了多少分,评分
1,nm什么时候上映,上映
2,nm的风格是什么,风格
3,nm讲的是啥,内容
3,nm讲的是什么故事,内容
3,nm的内容？,内容
4,nm的演员是谁,演员
4,nm的主演是谁,演员
5,nr是谁,演员介绍
2,nm是什么类型的电影,风格
0,nm的评分是多少,评分
0,nm的评分有多少,评分
0,nm的分数是,评分
0,nm电影分数是多少,评分
0,nm评分,评分
0,nm的分数是多少,评分
0,nm这部电影的评分是多少,评分
1,nm的上映时间是什么时候,上映
1,nm的首映时间是什么时候,上映
1,nm什么时候首映,上映
1,nm什么时候在影院上线,上映
2,nm是什么风格的电影,风格
2,nm的格调是什么,风格
2,nm的类型是什么,风格
2,nm是什么类型的,风格
3,nm的剧情是什么,内容
3,nm主要讲什么内容,内容
3,nm的主要剧情是什么,内容
3,nm的故事线索是什么,内容
3,nm主要讲什么故事,内容
3,nm讲了什么,内容
3,nm的剧情简介,内容
3,nm的故事内容,内容
3,nm的主要情节,内容
3,nm的情节梗概,内容
3,nm的故事梗概,内容
4,nm有哪些演员出演,演员
4,nm是由哪些人演的,演员
4,nm中参演的演员都有哪些,演员
6,nr演过什么电影,演员作品
4,nm这部电影的演员都有哪些,演员
4,nm这部电影中哪些人演过,演员
5,介绍一下nr,演员介绍
5,nr,演员介绍
5,谁是nr,演员介绍
5,nr的介绍,演员介绍
5,nr的信息,演员介绍
6,nr演了哪些电影,演员作品
6,nr演过哪些电影,演员作品
6,nr演了什么电影,演员作品
5,nr是谁,演员介绍
5,nr是谁,演员介绍
5,谁是nr,演员介绍
